City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,sisimiut,66.9395,-53.6735,-6.94,78,97,2.57,GL,1712807091
256,shache,38.4167,77.2406,20.74,12,100,3.83,CN,1712807092
257,aykhal,66.0,111.5,-22.54,92,100,10.22,RU,1712807092
258,port macquarie,-31.4333,152.9167,24.38,57,43,6.32,AU,1712806682
259,olonkinbyen,70.9221,-8.7187,-7.37,68,100,4.74,SJ,1712807093
260,cooper's town,26.8667,-77.5167,23.27,78,94,9.26,BS,1712807094
261,pendleton,45.6721,-118.7886,12.78,66,0,2.57,US,1712807094
262,waddan,29.1614,16.139,14.85,46,98,2.15,LY,1712807095
263,awjilah,29.1081,21.2869,14.75,44,0,3.15,LY,1712807096
264,nikol'sk,53.7189,46.0712,9.03,83,60,2.53,RU,1712807096
265,trevelin,-43.0858,-71.4639,1.71,48,0,0.32,AR,1712807097
266,bicske,47.4842,18.644,9.6,85,100,2.92,HU,1712807097
267,novaya igirma,57.1334,103.9112,0.9,76,98,4.64,RU,1712807098
268,mili,6.0815,171.735,27.97,81,90,7.53,MH,1712807098
269,tshabong,-26.05,22.45,15.56,47,0,4.04,BW,1712807099
270,conchas,-23.0153,-48.0106,20.75,79,56,2.59,BR,1712807099
271,usinsk,65.9939,57.5281,-7.09,89,100,7.35,RU,1712807100
272,atherton,53.5237,-2.4935,12.94,91,98,0.89,GB,1712807100
273,tiassale,5.8983,-4.8283,24.46,94,100,0.53,CI,1712807101
274,dudinka,69.4058,86.1778,-26.29,98,96,1.34,RU,1712807101
275,nuuk,64.1835,-51.7216,-2.66,93,100,0.51,GL,1712807102
276,arauca,7.0847,-70.7591,29.98,51,20,0.0,CO,1712807102
277,puerto san jose,13.9256,-90.8244,28.43,71,20,0.24,GT,1712807103
278,ceeldheer,3.8488,47.1806,28.65,70,9,4.29,SO,1712807103
279,choibalsan,48.0667,114.5,18.73,23,100,6.35,MN,1712807104
280,port-gentil,-0.7193,8.7815,26.15,88,100,5.03,GA,1712807105
281,dabhol,17.6,73.1667,29.48,51,87,3.71,IN,1712807105
282,changuinola,9.4333,-82.5167,24.41,91,96,1.34,PA,1712806972
283,beau vallon,-20.4189,57.6953,27.34,94,40,1.54,MU,1712807106
284,rongai,-0.1733,35.8638,15.94,93,82,0.54,KE,1712807107
285,mwene-ditu,-7.0,23.45,19.48,96,100,1.04,CD,1712807107
286,mullovka,54.2,49.4,3.9,88,25,0.89,RU,1712807108
287,hovd,48.0056,91.6419,11.16,26,75,3.52,MN,1712807109
288,rio grande,-32.035,-52.0986,19.9,73,100,7.37,BR,1712806827
289,fort st. john,56.2499,-120.8529,4.94,42,75,4.63,CA,1712807106
290,griffith,41.5284,-87.4237,15.96,66,100,3.09,US,1712806881
291,gorodoviki,46.1353,41.9656,12.57,66,25,3.13,RU,1712807112
292,carahue,-38.7,-73.1667,10.1,63,100,1.52,CL,1712807113
293,sherwood,34.8151,-92.2243,17.87,93,100,8.94,US,1712807113
294,talara,-4.5772,-81.2719,23.15,76,40,4.06,PE,1712807114
295,zhangye,38.9342,100.4517,17.76,16,54,0.82,CN,1712807114
296,chonchi,-42.6128,-73.8092,6.73,81,0,0.57,CL,1712807115
297,alofi,-19.0595,-169.9187,27.94,74,75,6.17,NU,1712807115
298,hobyo,5.3505,48.5268,29.16,66,32,5.66,SO,1712807116
299,praia da vitoria,38.7333,-27.0667,17.14,94,75,7.24,PT,1712807116
300,mabaruma,8.2,-59.7833,25.25,82,7,1.29,GY,1712807117
301,vilyuchinsk,52.9306,158.4028,4.15,73,35,15.77,RU,1712807117
302,zalesovo,53.9939,84.7431,1.17,87,100,2.7,RU,1712807118
303,egersund,58.4513,5.9997,9.49,98,100,2.71,NO,1712807118
304,monrovia,6.3005,-10.7969,26.64,87,99,1.48,LR,1712807119
305,namdrik,5.5994,168.1028,27.96,82,69,8.11,MH,1712807119
306,santa adelia,-21.2428,-48.8042,22.88,81,75,1.62,BR,1712807120
307,east london,-33.0153,27.9116,14.52,82,0,5.66,ZA,1712807107
308,kyzyl,51.7,94.45,7.23,72,90,0.89,RU,1712807121
309,east ballina,-28.8667,153.5833,23.22,64,12,7.64,AU,1712807122
310,patterson,37.4716,-121.1297,22.86,74,71,2.06,US,1712807122
311,yaremche,48.4583,24.5519,10.27,93,100,1.37,UA,1712807123
312,santa ana,33.7456,-117.8678,23.59,62,0,3.09,US,1712807052
313,kunwi,36.2347,128.5728,19.54,43,100,2.05,KR,1712807124
314,lerwick,60.1545,-1.1494,9.0,94,100,14.63,GB,1712807124
315,kone,-21.0595,164.8658,23.9,97,100,2.17,NC,1712807125
316,portland,45.5234,-122.6762,15.96,60,40,2.06,US,1712806830
317,kattivakkam,13.2167,80.3167,32.29,62,91,3.99,IN,1712807126
318,santa barbara,34.7333,-120.0343,18.5,73,0,2.06,US,1712806982
319,bokoro,12.3807,17.0568,26.51,10,79,4.43,TD,1712807127
320,usogorsk,63.4106,48.6872,1.48,100,100,6.38,RU,1712807127
321,sumbe,-11.2061,13.8437,25.44,88,99,2.43,AO,1712807128
322,gemena,3.25,19.7667,22.48,86,87,0.74,CD,1712807128
323,fale old settlement,-9.3852,-171.2468,30.21,73,38,3.41,TK,1712807129
324,zilair,52.2332,57.4392,6.29,81,67,1.58,RU,1712807130
325,callao,-12.0667,-77.15,24.84,83,0,4.12,PE,1712807113
326,malone,44.8487,-74.2949,12.05,89,100,3.51,US,1712807131
327,leiyang,26.4024,112.8591,19.02,98,100,1.12,CN,1712807132
328,at taj,24.2049,23.2857,15.25,30,45,3.82,LY,1712807132
329,dhidhdhoo,6.8833,73.1,29.31,72,10,4.15,MV,1712807132
330,mount isa,-20.7333,139.5,27.87,24,41,5.14,AU,1712807133
331,dhandhuka,22.3667,71.9833,31.73,28,100,3.25,IN,1712807134
332,taltal,-25.4,-70.4833,17.48,86,91,0.73,CL,1712807134
333,brooks,50.5834,-111.8851,4.79,55,39,1.54,CA,1712807110
334,pandan,14.0453,124.1694,29.29,65,65,5.23,PH,1712807135
335,qaqortoq,60.7167,-46.0333,-6.42,88,93,2.39,GL,1712807135
336,acarau,-2.8856,-40.12,25.49,90,100,1.58,BR,1712806972
337,yuzhno-sakhalinsk,46.9581,142.7337,8.05,66,40,7.0,RU,1712807136
338,bonthe,7.5264,-12.505,25.14,92,96,1.77,SL,1712807137
339,san alberto,7.7611,-73.3922,28.61,56,27,1.35,CO,1712807138
340,zeya,53.75,127.2667,6.98,58,7,1.28,RU,1712807138
341,dongtai,32.8523,120.3095,20.42,63,72,2.58,CN,1712807139
342,nar'yan-mar,67.6713,53.087,-5.47,94,100,11.18,RU,1712807139
343,argostolion,38.1811,20.489,17.08,34,100,0.11,GR,1712807140
344,mount pearl,47.5166,-52.7813,0.06,94,100,4.63,CA,1712807140
345,piti village,13.4626,144.6933,31.49,71,40,7.72,GU,1712807141
346,holualoa,19.6228,-155.9522,24.03,85,20,3.09,US,1712807141
347,honiara,-9.4333,159.95,29.02,82,61,0.73,SB,1712807142
348,kudahuvadhoo,2.6708,72.8944,29.6,68,86,3.64,MV,1712807142
349,swift current,50.2834,-107.8014,2.45,60,0,3.6,CA,1712807143
350,nogales,31.3086,-110.9422,18.02,16,0,4.12,MX,1712807143
351,virginia,37.5481,-77.4467,18.2,90,100,2.06,US,1712807105
352,fada,9.5667,8.3,25.06,33,100,1.74,NG,1712807144
353,luderitz,-26.6481,15.1594,19.8,54,0,4.14,NA,1712807145
354,dalhart,36.0595,-102.5133,11.01,37,0,3.09,US,1712806958
355,bikenibeu village,1.3673,173.1241,30.98,74,40,3.6,KI,1712807146
356,phan rang-thap cham,11.5667,108.9833,34.33,43,4,6.55,VN,1712807146
357,evora,38.5667,-7.9,14.71,64,100,3.58,PT,1712807147
358,guerrero negro,27.9769,-114.0611,17.61,68,24,5.24,MX,1712807147
359,ceerigaabo,10.6162,47.368,18.67,66,5,0.97,SO,1712807148
360,bontang,0.1333,117.5,28.71,70,55,5.44,ID,1712807148
361,polyarnyy,69.1989,33.4478,2.44,98,100,7.06,RU,1712807149
362,vrontados,38.4089,26.1328,16.92,72,0,3.6,GR,1712807149
363,sasovo,54.3537,41.9199,11.18,91,47,3.13,RU,1712807150
